CY,Code,Year,Country,Bud,Christ,Folk,Hindu,Jew,Mus,Other,Un
IDN_2010,IDN,2010,Indonesia,0,0.100202429,0,0.017206478,0,0.882591093,0,0
IRN_2010,IRN,2010,Iran,0,0,0,0,0,1,0,0
IRQ_2010,IRQ,2010,Iraq,0,0,0,0,0,1,0,0
IRL_2010,IRL,2010,Ireland,0,0.926485398,0,0,0,0.011077543,0,0.062437059
IMN_2010,IMN,2010,Isle of Man,0,0.845226131,0,0,0,0,0,0.154773869
ISR_2010,ISR,2010,Israel,0,0.020140987,0,0,0.761329305,0.187311178,0,0.03121853
ITA_2010,ITA,2010,Italy,0,0.838028169,0,0,0,0.03722334,0,0.124748491
JAM_2010,JAM,2010,Jamaica,0,0.780586451,0.045500506,0,0,0,0,0.173913043
JPN_2010,JPN,2010,Japan,0.363819095,0.016080402,0,0,0,0,0.047236181,0.572864322
JOR_2010,JOR,2010,Jordan,0,0.022132797,0,0,0,0.977867203,0,0
KAZ_2010,KAZ,2010,Kazakhstan,0,0.248741188,0,0,0,0.708962739,0,0.042296073
KEN_2010,KEN,2010,Kenya,0,0.848848849,0.017017017,0,0,0.097097097,0.012012012,0.025025025
KIR_2010,KIR,2010,Kiribati,0,0.977822581,0,0,0,0,0.022177419,0
XKX_2010,XKX,2010,Kosovo,0,0.061061061,0,0,0,0.938938939,0,0
KWT_2010,KWT,2010,Kuwait,0.028084253,0.143430291,0,0.085255767,0,0.743229689,0,0
KGZ_2010,KGZ,2010,Kyrgyzstan,0,0.114688129,0,0,0,0.885311871,0,0
LAO_2010,LAO,2010,Laos,0.67209776,0.015274949,0.312627291,0,0,0,0,0
LVA_2010,LVA,2010,Latvia,0,0.560240964,0,0,0,0,0,0.439759036
LBN_2010,LBN,2010,Lebanon,0,0.384538153,0,0,0,0.615461847,0,0
LSO_2010,LSO,2010,Lesotho,0,0.968968969,0,0,0,0,0,0.031031031
LBR_2010,LBR,2010,Liberia,0,0.865055388,0,0,0,0.120845921,0,0.014098691
LBY_2010,LBY,2010,Libya,0,0.027190332,0,0,0,0.972809668,0,0
LIE_2010,LIE,2010,Liechtenstein,0,0.920841683,0,0,0,0.0501002,0,0.029058116
LTU_2010,LTU,2010,Lithuania,0,0.899799599,0,0,0,0,0,0.100200401
LUX_2010,LUX,2010,Luxembourg,0,0.707537688,0,0,0,0.023115578,0,0.269346734
MAC_2010,MAC,2010,Macau,0.175101215,0.072874494,0.596153846,0,0,0,0,0.155870445
MKD_2010,MKD,2010,Republic of Macedonia,0,0.593,0,0,0,0.393,0,0.014
MDG_2010,MDG,2010,Madagascar,0,0.8555667,0.045135406,0,0,0.030090271,0,0.069207623
MWI_2010,MWI,2010,Malawi,0,0.827827828,0.017017017,0,0,0.13013013,0,0.025025025
MYS_2010,MYS,2010,Malaysia,0.178607467,0.094853683,0.02320888,0.060544904,0,0.642785066,0,0
MDV_2010,MDV,2010,Maldives,0,0,0,0,0,1,0,0
